Country, Visits (Millions)
Spain, 12.24
France, 10.42
Italy, 3.07
USA, 3.74
Ireland, 3.72
Netherlands, 2.26
Greece, 2.05
Germany, 2.79
Portugal, 2.13
Poland, 1.82
Turkey, 1.63
Belgium, 2.07
India, 0.98
Switzerland, 1.05
Romania, 0.22
United Arab Emirates, 0.70
Cyprus, 0.94
Hungary, 0.35
Malta, 0.52
Morocco, 0.43
Czech Republic, 0.41
Pakistan, 0.50
Canada, 0.47
Austria, 0.62
Bulgaria, 0.34
Mexico, 0.34
Other Caribbean, 0.57
Australia, 0.47
Norway, 0.35
Thailand, 0.47
Denmark, 0.41
Sweden, 0.42
Lithuania, 0.23
South Africa, 0.45
Fly/cruise (stay onboard), 0.55
Tunisia, 0.43
Japan, 0.12
Jamaica, 0.22
Hong Kong (China), 0.24
Nigeria, 0.19
Slovakia, 0.16
Finland, 0.15
Russia, 0.17
Sri Lanka, 0.15
Barbados, 0.12
Rest of the World, 0.21
Israel, 0.12
Egypt, 0.49
Brazil, 0.15
New Zealand, 0.14
Luxembourg, 0.10